MATERIAL_NUMBER,MATERIAL_DESCRIPTION
000000009687947529,iTDM-C cobas MS LeadCal F7
000000010674679967,NPTX 2 cRUO Elecsys MVR R2
000000005462690001,CK-MB Elecsys CalCheck F2
000000004538161001,<TG> Gen.2 Elecsys F6 ML
000000003011399001,Digoxin Elecsys ML1
000000012002850001,HIV Ag Elecsys F1 ML
000000005094305001,TROPONIN I Elecsys MK F4
000000007226225529,ISD-E Elecsys Cal 1
000000008774366529,HBSAG Gen2 E2G 100 R1 V2
000000008178607529,Zika IgG E2G 100 R1
000000011866435001,Cyfra Elecsys F1 ML
000000008774609001,free PSA II Elecsys R2 V2
000000005887119529,HIV COMBI PT Elecsys Cal 2
000000011726242001,AFP Elecsys F4 ML
000000009187103529,B-CL E2G 100 R1 V2
000000006512267529,Cort Gen2 Elecsys Speichel Ctr 1
000000009687998529,iTDM-C cobas MS Cal 1 w/o value
000000007834217529,RUBELLA IGM E2G Cal 2
000000008245622529,Zika IgG Elecsys Ctr 2
000000010675381967,YKL 40 cRUO Elecsys Bulk MK F5
000000008289816529,<HBS> E2G 300 R1
000000006863949001,AMH Elecsys MK F7
000000009556451529,LH Gen2 Elecsys Cal 2 V2
000000008778442529,PCT E2G 300 R2 V2
000000010165758529,cMyBP-C Elecsys Ctr 2
000000010481234529,<HDV> Elecsys Ctr 1
000000005991285001,HSV-2 IGG Elecsys MK F3
000000009449132529,PCT Gen2 Elecsys IKP F2
000000007967152529,<p53> Elecsys R2
000000008709963001,EBV EBNA IgG Elecsys Ctr 2
000000008817260001,AFP-L3 Elecsys MK F7
000000008913412001,<TPO> Gen2 Elecsys F2 ML V2
000000007469381529,IGF-1 Elecsys CalCheck F2
000000009487921529,IFNg E2G 300 R2
000000009688005529,iTDM-C cobas MS Cal 2 w/o value
000000008806438001,AFP-L3 Elecsys MK F1
000000009021671001,<HEV> IgG Elecsys MK F2
000000009495444529,TNT Gen6 Elecsys MK F5
000000010674059967,NPTX 2 cRUO Elecsys Cal 2
000000004478215001,T4 Gen2 Elecsys F2 ML
000000010286776529,pT217p Elecsys MK F5
000000005187192001,<HBS> Elecsys R2 RT
000000004962648529,PC THYRO AB Elecsys Ctr 1
000000008431256001,Biotin MK F6
000000011892819001,<HBc> Elecsys F2 ML
000000009733639001,iSV Cobas MS LeadCal F1
000000005989337001,DIG Elecsys CalCheck F1
000000011920359001,HBsAg Elecsys Ctr 1
000000004877462001,PAPP-A Elecsys F 2 MK
000000009035435001,<HEV> IgM Elecsys MK F1
000000009495134529,IFNg Elecsys MK F6
000000009398287529,Cort Gen3 Elecsys MK F1 Serum
000000011821024529,CYFRA Elecsys R2
000000005117232001,PreciControl ClinChem Multi 2 Fl-oSW
000000004817290001,TG Gen2 Elecsys F4 ML
000000008923108529,GDF-15 Elecsys R2 V2
000000007030690529,<HBs> Gen2 Elecsys R2 RT
000000012137453001,HIV-COMBI Elecsys F3 ML
000000008259615001,Zika IgG Elecsys MK F3
000000007900872529,Active B12 Elecsys R2
000000006430813529,FT4 Gen2 Elecsys R1
000000009684689529,PG I Elecsys Bulk MK F3
000000005043123001,TROP-T HS Elecsys MK F4
000000004472934001,FT4 Gen2 Elecsys F2 ML
000000009735151529,GDF-15 RxDx Elecsys MK F6
000000004478193001,T4 Gen2 Elecsys F1 ML
000000011866451001,Cyfra Elecsys F3 ML
000000009487310529,PC HTLV Elecsys Release Control lq
000000011892762001,Elecsys Anti-HBc R1
000000011892851001,<HBc> Elecsys F6 ML
000000010526459529,TBK Gen2 Elecsys MK F2
000000009867210001,Gastrin 17 Elecsys MK F4
000000009607714529,<HBs> Gen2 E2G 100 R1 V2
000000006915736529,Syphilis Elecsys Cal 1
000000009108980529,FT4 Gen4 E2G 300 R2
000000008754438001,HCV Duo M1 Elecsys MK F2
000000006863876001,AMH Elecsys MK F2
000000008898324529,<TPO> Gen2 Elecsys R1
000000007936745001,Parvo B19 Elecsys Cal 2
000000005142768001,PLGF Elecsys F1 MK
000000008160651001,PIVKA-II Elecsys MK F4
000000009903984529,Lyme IgG E2G 300 R1
000000008913471529,<TPO> Gen2 Elecsys F7 ML V2
000000008014027001,<HAV> Gen2.2 Elecsys MK F2
000000005034078529,<CMV> IGG Elecsys R1
000000009393293001,CA 242 Elecsys MK F2
000000009449175529,PCT Gen2 Elecsys IKP F3
000000010219459529,TnI hs Elecsys MK F6
000000011821016529,CYFRA Elecsys R1
000000008289824529,<HBS> E2G 300 R2 RT
000000009360859529,sBCMA Elecsys CalCheck F3
000000005898498529,CK-MB Gen4 Elecsys Cal 2
000000005524156001,SHBG Elecsys CalCheck F1
000000008779449001,AFP-L3 Elecsys R1
000000004914546001,PCC Elecsys Gen4 Ctr 2
000000007551720529,Vit.D total Gen2 E2G 100 PT2
000000008431078001,Biotin SV Ctr 1
000000009607676529,TESTO Gen2 E2G 100 R1 V2
000000006601979001,Tacro Elecsys R2
000000005089751001,TROP-T Gen4 Elecsys CalCheck F4
000000009042610001,Vit.D total Gen3 Elecsys PT2
000000009848860529,iISD cobas MS CalCheck F2 w/o value
000000009721924001,HIV Duo Gen2 M1 Elecsys Cal 2
000000008303304001,PROG Elecsys Diluent 35 ml
000000007233655001,Syphilis E2G 300 R2
000000008014191001,<HAV> Gen2.2 Elecsys R2
000000005092337001,TROP-T Gen.5 Elecsys CalCheck F3
000000005089611001,TSH Gen2 Elecsys CalCheck F3
000000007230613529,Cort Gen2 E2G 300 R1
000000005090717001,PCT Elecsys CalCheck F4
000000009733612529,iSV Cobas MS LeadCal F0
000000009733663001,iSV Cobas MS LeadCal F4
